seq	abundance	similarity
M00967_43_000000000-A3JHG_1_1111_11158_18503	4	566
M00967_43_000000000-A3JHG_1_2112_18954_27273	1	57
M00967_43_000000000-A3JHG_1_1114_26228_7234	1	194
M00967_43_000000000-A3JHG_1_1113_20833_19080	1	25
M00967_43_000000000-A3JHG_1_1112_5857_22693	4	67
M00967_43_000000000-A3JHG_1_2103_7518_16281	1	272
M00967_43_000000000-A3JHG_1_2114_26943_14335	1	363
M00967_43_000000000-A3JHG_1_1109_5626_10364	1	271
M00967_43_000000000-A3JHG_1_2101_10829_21691	1	1391
M00967_43_000000000-A3JHG_1_2114_2184_18019	1	236
M00967_43_000000000-A3JHG_1_1108_23932_7432	1	60
M00967_43_000000000-A3JHG_1_1103_18686_20959	1	175
M00967_43_000000000-A3JHG_1_1106_29662_14220	1	0
M00967_43_000000000-A3JHG_1_2113_13146_9652	1	20
M00967_43_000000000-A3JHG_1_2113_16842_24078	1	87
M00967_43_000000000-A3JHG_1_2114_24445_13212	1	97
M00967_43_000000000-A3JHG_1_1101_26974_22583	1	943
M00967_43_000000000-A3JHG_1_1112_16523_5464	1	64
M00967_43_000000000-A3JHG_1_1103_7816_13524	1	860
M00967_43_000000000-A3JHG_1_2113_14735_16594	1	47
M00967_43_000000000-A3JHG_1_2105_13046_10137	1	120
M00967_43_000000000-A3JHG_1_2112_17046_25240	1	23
M00967_43_000000000-A3JHG_1_1110_24509_19805	1	109
M00967_43_000000000-A3JHG_1_1102_23032_12098	12	685
M00967_43_000000000-A3JHG_1_1114_13099_2398	1	108
M00967_43_000000000-A3JHG_1_1112_23690_11094	1	859
M00967_43_000000000-A3JHG_1_1102_21257_5217	1	1189
M00967_43_000000000-A3JHG_1_2109_8017_23453	1	42
M00967_43_000000000-A3JHG_1_1104_11803_24577	1	14
M00967_43_000000000-A3JHG_1_1108_18054_27531	1	916
M00967_43_000000000-A3JHG_1_2104_11861_17255	1	92
M00967_43_000000000-A3JHG_1_1110_21005_18267	13	102
M00967_43_000000000-A3JHG_1_1109_20850_21562	8	396
M00967_43_000000000-A3JHG_1_1109_9264_10884	3	175
M00967_43_000000000-A3JHG_1_2110_13302_19735	1	770
M00967_43_000000000-A3JHG_1_1110_7434_13138	1	117
M00967_43_000000000-A3JHG_1_1109_5734_9479	1	236
M00967_43_000000000-A3JHG_1_1101_11283_13316	1	363
M00967_43_000000000-A3JHG_1_2110_24394_6638	1	222
M00967_43_000000000-A3JHG_1_1104_14415_16643	1	105
M00967_43_000000000-A3JHG_1_2108_19733_6030	12	1548
M00967_43_000000000-A3JHG_1_1109_2254_17849	2	74
M00967_43_000000000-A3JHG_1_1102_21460_22520	1	524
M00967_43_000000000-A3JHG_1_1101_23332_23521	1	799
M00967_43_000000000-A3JHG_1_1103_23168_12373	1	1408
M00967_43_000000000-A3JHG_1_1106_7017_21204	1	1395
M00967_43_000000000-A3JHG_1_1103_18237_24620	1	932
M00967_43_000000000-A3JHG_1_1101_2300_17910	1	26
M00967_43_000000000-A3JHG_1_1104_19006_23065	1	35
M00967_43_000000000-A3JHG_1_1101_15349_9009	1	4
M00967_43_000000000-A3JHG_1_2110_23870_15943	1	90
M00967_43_000000000-A3JHG_1_2110_5444_17133	1	10
M00967_43_000000000-A3JHG_1_1104_15034_5308	3	37
M00967_43_000000000-A3JHG_1_1114_20693_13522	1	3
M00967_43_000000000-A3JHG_1_1112_27306_10601	1	407
M00967_43_000000000-A3JHG_1_2114_12159_19546	1	38
M00967_43_000000000-A3JHG_1_2101_10084_22191	1	32
M00967_43_000000000-A3JHG_1_1114_15226_17310	1	15
M00967_43_000000000-A3JHG_1_1109_21910_4032	2	24
M00967_43_000000000-A3JHG_1_1108_14233_8406	14	113
M00967_43_000000000-A3JHG_1_2112_21765_6489	1	815
M00967_43_000000000-A3JHG_1_1106_21680_20805	1	120
M00967_43_000000000-A3JHG_1_2104_16152_26658	1	954
M00967_43_000000000-A3JHG_1_2113_14069_9938	1	823
M00967_43_000000000-A3JHG_1_2106_22072_9028	2	986
M00967_43_000000000-A3JHG_1_2114_13671_24608	1	52
M00967_43_000000000-A3JHG_1_1114_24346_10457	3	822
M00967_43_000000000-A3JHG_1_2103_5971_8885	1	78
M00967_43_000000000-A3JHG_1_1108_7065_15422	1	931
M00967_43_000000000-A3JHG_1_1104_25704_7698	9	1441
M00967_43_000000000-A3JHG_1_2110_10993_5817	20	24
M00967_43_000000000-A3JHG_1_1113_13037_22181	1	236
M00967_43_000000000-A3JHG_1_1113_18583_14634	1	201
M00967_43_000000000-A3JHG_1_2113_20453_2504	1	486
M00967_43_000000000-A3JHG_1_2114_21897_25565	1	252
M00967_43_000000000-A3JHG_1_1104_14172_14304	1	1245
M00967_43_000000000-A3JHG_1_2111_9197_15631	1	46
M00967_43_000000000-A3JHG_1_1106_12129_11566	1	54
M00967_43_000000000-A3JHG_1_1101_25351_21539	2	1411
M00967_43_000000000-A3JHG_1_2112_18135_26429	1	1512
M00967_43_000000000-A3JHG_1_2108_12365_12956	1	826
M00967_43_000000000-A3JHG_1_2105_17521_10013	1	24
M00967_43_000000000-A3JHG_1_1110_10476_25206	4	159
M00967_43_000000000-A3JHG_1_2109_24751_22743	1	746
M00967_43_000000000-A3JHG_1_2114_14189_19840	2	540
M00967_43_000000000-A3JHG_1_1109_20391_18800	1	133
M00967_43_000000000-A3JHG_1_2106_21108_2906	1	1277
M00967_43_000000000-A3JHG_1_2101_19929_12888	1	970
M00967_43_000000000-A3JHG_1_1109_15911_21638	1	146
M00967_43_000000000-A3JHG_1_2110_21922_12786	1	910
M00967_43_000000000-A3JHG_1_2114_28981_14025	1	184
M00967_43_000000000-A3JHG_1_2106_19785_24300	1	0
M00967_43_000000000-A3JHG_1_2112_18003_22663	1	24
M00967_43_000000000-A3JHG_1_1111_4974_8377	1	6
M00967_43_000000000-A3JHG_1_2103_9845_20599	1	71
M00967_43_000000000-A3JHG_1_1109_25491_20746	8	12
M00967_43_000000000-A3JHG_1_2101_17225_1540	1	1265
M00967_43_000000000-A3JHG_1_2107_17408_4788	1	653
M00967_43_000000000-A3JHG_1_2114_26373_23229	2	505
M00967_43_000000000-A3JHG_1_2101_23945_15241	1	54
M00967_43_000000000-A3JHG_1_2106_11359_9943	1	36
M00967_43_000000000-A3JHG_1_2108_9953_9510	1	73
M00967_43_000000000-A3JHG_1_2114_11474_3059	2	1093
M00967_43_000000000-A3JHG_1_1104_19783_22165	1	471
M00967_43_000000000-A3JHG_1_2112_22319_13002	1	8
M00967_43_000000000-A3JHG_1_2109_15680_12639	1	25
M00967_43_000000000-A3JHG_1_2103_16368_22655	1	13
M00967_43_000000000-A3JHG_1_2103_17989_9628	1	79
M00967_43_000000000-A3JHG_1_1110_10969_16387	1	715
M00967_43_000000000-A3JHG_1_2106_21472_12523	364	73
M00967_43_000000000-A3JHG_1_1103_4756_13073	1	89
M00967_43_000000000-A3JHG_1_2111_13659_25447	1	202
M00967_43_000000000-A3JHG_1_1114_28662_17991	1	86
M00967_43_000000000-A3JHG_1_1112_13538_6922	1	35
M00967_43_000000000-A3JHG_1_2113_15387_11759	7	45
M00967_43_000000000-A3JHG_1_1110_16820_5677	1	84
M00967_43_000000000-A3JHG_1_2110_14206_7886	1	165
M00967_43_000000000-A3JHG_1_1110_19904_15358	1	6
M00967_43_000000000-A3JHG_1_1113_6246_21410	1	27
M00967_43_000000000-A3JHG_1_2103_11635_15432	205715	576
M00967_43_000000000-A3JHG_1_2102_26367_20463	1	1381
M00967_43_000000000-A3JHG_1_1106_21120_8260	1	511
M00967_43_000000000-A3JHG_1_1111_9261_13533	1	350
M00967_43_000000000-A3JHG_1_2105_24305_5134	1	1073
M00967_43_000000000-A3JHG_1_1105_3529_16503	1	128
M00967_43_000000000-A3JHG_1_1113_14585_8935	1	146
M00967_43_000000000-A3JHG_1_1107_24028_9474	1	157
M00967_43_000000000-A3JHG_1_1105_23562_16506	1	0
M00967_43_000000000-A3JHG_1_2103_22306_16004	1	1482
M00967_43_000000000-A3JHG_1_1111_12327_18749	2	550
M00967_43_000000000-A3JHG_1_1107_19724_3233	1	140
M00967_43_000000000-A3JHG_1_2101_16433_17034	2	943
M00967_43_000000000-A3JHG_1_2104_5785_10966	3	22
M00967_43_000000000-A3JHG_1_2111_21900_24040	3	15
M00967_43_000000000-A3JHG_1_1109_21643_10390	1	111
M00967_43_000000000-A3JHG_1_2113_15204_1429	1	511
M00967_43_000000000-A3JHG_1_1114_8111_8914	1	129
M00967_43_000000000-A3JHG_1_1107_9204_14001	1	45
M00967_43_000000000-A3JHG_1_1102_21683_9586	1	550
M00967_43_000000000-A3JHG_1_1104_15519_17259	10	1482
M00967_43_000000000-A3JHG_1_2109_19627_25746	1	62
M00967_43_000000000-A3JHG_1_2110_17026_16677	2	42
M00967_43_000000000-A3JHG_1_1112_8557_21700	1	990
M00967_43_000000000-A3JHG_1_1101_12935_12664	23	89
M00967_43_000000000-A3JHG_1_1105_23231_4481	2	1530
M00967_43_000000000-A3JHG_1_1104_11856_10265	1	551
M00967_43_000000000-A3JHG_1_2105_26784_21978	1	1172
M00967_43_000000000-A3JHG_1_1106_8169_24225	1	84
M00967_43_000000000-A3JHG_1_1114_15355_17713	1	58
M00967_43_000000000-A3JHG_1_2102_22082_9377	1	55
M00967_43_000000000-A3JHG_1_2108_25850_8754	1	19
M00967_43_000000000-A3JHG_1_2114_21415_10919	1	61
M00967_43_000000000-A3JHG_1_1109_24524_4851	1	132
M00967_43_000000000-A3JHG_1_2104_10148_20797	1	566
M00967_43_000000000-A3JHG_1_2113_10323_17971	1	175
M00967_43_000000000-A3JHG_1_1107_19454_22582	2	53
M00967_43_000000000-A3JHG_1_1114_24057_24131	1	133
M00967_43_000000000-A3JHG_1_1101_24860_11242	1	30
M00967_43_000000000-A3JHG_1_2110_17223_2263	1	1056
M00967_43_000000000-A3JHG_1_2109_15615_7280	2	42
M00967_43_000000000-A3JHG_1_2114_26206_12635	1	52
M00967_43_000000000-A3JHG_1_1112_21053_13579	1	47
M00967_43_000000000-A3JHG_1_2102_5173_21862	1	1400
M00967_43_000000000-A3JHG_1_1102_14861_6359	1	13
M00967_43_000000000-A3JHG_1_1112_12071_20038	1	671
M00967_43_000000000-A3JHG_1_1113_7583_23271	1	62
M00967_43_000000000-A3JHG_1_1112_21195_21645	1	58
M00967_43_000000000-A3JHG_1_1101_24831_8909	1	32
M00967_43_000000000-A3JHG_1_1112_26944_19614	1	1422
M00967_43_000000000-A3JHG_1_2108_11743_18111	1	75
M00967_43_000000000-A3JHG_1_1101_17323_16435	1	431
M00967_43_000000000-A3JHG_1_1103_22215_5455	1	28
M00967_43_000000000-A3JHG_1_2105_21230_21464	2	65
M00967_43_000000000-A3JHG_1_2107_23913_4365	1	384
M00967_43_000000000-A3JHG_1_2106_17922_2010	1	6
M00967_43_000000000-A3JHG_1_1104_28969_12666	1	136
M00967_43_000000000-A3JHG_1_1103_6376_14808	1	1413
M00967_43_000000000-A3JHG_1_1104_5982_18165	1	620
M00967_43_000000000-A3JHG_1_2113_18335_19729	1	54
M00967_43_000000000-A3JHG_1_2105_24970_16797	1	61
M00967_43_000000000-A3JHG_1_1109_12171_22776	1	20
M00967_43_000000000-A3JHG_1_1102_14386_4262	2	127
M00967_43_000000000-A3JHG_1_1102_9382_8336	2	1226
M00967_43_000000000-A3JHG_1_1112_21088_14920	1	47
M00967_43_000000000-A3JHG_1_1105_7042_13477	1	856
M00967_43_000000000-A3JHG_1_2111_17737_10719	1	1215
M00967_43_000000000-A3JHG_1_1108_8348_17971	1	49
M00967_43_000000000-A3JHG_1_2111_18527_9965	4	1512
M00967_43_000000000-A3JHG_1_1114_12833_4859	1	6
M00967_43_000000000-A3JHG_1_2112_11899_12271	1	326
M00967_43_000000000-A3JHG_1_2102_16053_24854	1	32
M00967_43_000000000-A3JHG_1_1112_26952_22454	1	1015
M00967_43_000000000-A3JHG_1_2104_26785_16784	1	13
M00967_43_000000000-A3JHG_1_1113_9279_26611	1	736
M00967_43_000000000-A3JHG_1_2107_20656_4875	1	471
M00967_43_000000000-A3JHG_1_2110_17945_26986	1	124
M00967_43_000000000-A3JHG_1_1114_17726_14226	1	91
M00967_43_000000000-A3JHG_1_1106_19632_4367	3	114
M00967_43_000000000-A3JHG_1_1113_6717_11446	1	941
M00967_43_000000000-A3JHG_1_1102_13536_15356	1	75
M00967_43_000000000-A3JHG_1_2110_5207_14027	1	46
M00967_43_000000000-A3JHG_1_2110_12903_25736	1	634
M00967_43_000000000-A3JHG_1_1112_24926_20157	1	108
M00967_43_000000000-A3JHG_1_1102_8122_25697	2	331
M00967_43_000000000-A3JHG_1_1106_19645_20712	1	45
M00967_43_000000000-A3JHG_1_1113_7356_20498	52	2
M00967_43_000000000-A3JHG_1_2107_3426_13685	1	159
M00967_43_000000000-A3JHG_1_2112_16228_24965	1	389
M00967_43_000000000-A3JHG_1_1110_26032_16760	1	40
M00967_43_000000000-A3JHG_1_2101_19109_17114	1	16
M00967_43_000000000-A3JHG_1_2110_16346_22004	1	498
M00967_43_000000000-A3JHG_1_2101_25648_19287	1	2
M00967_43_000000000-A3JHG_1_1106_20573_20760	1	1152
M00967_43_000000000-A3JHG_1_2110_11085_20271	2	63
M00967_43_000000000-A3JHG_1_1111_16425_18566	1	1417
M00967_43_000000000-A3JHG_1_1111_26033_16351	1	62
M00967_43_000000000-A3JHG_1_2113_14618_7365	1	55
M00967_43_000000000-A3JHG_1_1106_13870_25782	1	1020
M00967_43_000000000-A3JHG_1_1108_8896_14184	1	183
M00967_43_000000000-A3JHG_1_2103_23619_18691	1	1471
M00967_43_000000000-A3JHG_1_1104_22773_22899	1	0
M00967_43_000000000-A3JHG_1_1113_23270_9691	3	99
M00967_43_000000000-A3JHG_1_2107_13819_23745	3	1259
M00967_43_000000000-A3JHG_1_2114_9990_7959	1	62
M00967_43_000000000-A3JHG_1_1109_3054_17962	192	1089
M00967_43_000000000-A3JHG_1_1110_9329_22184	1	84
M00967_43_000000000-A3JHG_1_2102_20664_6761	1	1396
M00967_43_000000000-A3JHG_1_2101_15197_19355	1	187
M00967_43_000000000-A3JHG_1_1105_27421_16372	1	50
M00967_43_000000000-A3JHG_1_1111_4661_10598	1	120
M00967_43_000000000-A3JHG_1_1111_17157_27156	28	96
M00967_43_000000000-A3JHG_1_1112_13290_2738	1	19
M00967_43_000000000-A3JHG_1_2111_21207_6832	2	8
M00967_43_000000000-A3JHG_1_1109_15021_10673	1	9
M00967_43_000000000-A3JHG_1_2111_14150_12088	1	591
M00967_43_000000000-A3JHG_1_2109_24318_16162	1	386
M00967_43_000000000-A3JHG_1_2101_22536_14733	1	48
M00967_43_000000000-A3JHG_1_2104_20630_5423	1	29
M00967_43_000000000-A3JHG_1_1111_20784_9653	1	66
M00967_43_000000000-A3JHG_1_2101_12402_11394	1	5
M00967_43_000000000-A3JHG_1_1111_18721_6473	1	84
M00967_43_000000000-A3JHG_1_1110_16091_6841	1	99
M00967_43_000000000-A3JHG_1_2102_18868_8410	1	235
M00967_43_000000000-A3JHG_1_2109_9610_14309	1	114
M00967_43_000000000-A3JHG_1_1108_5082_8145	1	817
M00967_43_000000000-A3JHG_1_1102_20487_27592	1	175
M00967_43_000000000-A3JHG_1_1105_24189_19161	1	1082
M00967_43_000000000-A3JHG_1_2102_8349_9219	1	39
M00967_43_000000000-A3JHG_1_1105_24999_6794	2	170
M00967_43_000000000-A3JHG_1_1107_15468_9192	1	102
M00967_43_000000000-A3JHG_1_2104_12283_20274	1	1025
M00967_43_000000000-A3JHG_1_1109_16473_22970	1	56
M00967_43_000000000-A3JHG_1_1109_15784_10047	1	20
M00967_43_000000000-A3JHG_1_1112_27510_14476	1	125
M00967_43_000000000-A3JHG_1_2112_8250_17966	1	332
M00967_43_000000000-A3JHG_1_2112_15653_4056	1	919
M00967_43_000000000-A3JHG_1_1103_10923_16135	1	77
M00967_43_000000000-A3JHG_1_1109_3219_11418	45	60
M00967_43_000000000-A3JHG_1_1104_22299_24998	2	140
M00967_43_000000000-A3JHG_1_1105_21196_4276	1	1428
M00967_43_000000000-A3JHG_1_1107_18335_7162	1	110
M00967_43_000000000-A3JHG_1_1101_18885_8316	1	457
M00967_43_000000000-A3JHG_1_2110_24969_14968	1	112
M00967_43_000000000-A3JHG_1_2110_12535_6437	1	26
M00967_43_000000000-A3JHG_1_2101_27664_10201	1	79
M00967_43_000000000-A3JHG_1_2104_15524_2196	1	19
M00967_43_000000000-A3JHG_1_1106_8466_9516	1	1387
M00967_43_000000000-A3JHG_1_2111_26081_9220	1	236
M00967_43_000000000-A3JHG_1_1104_5198_8868	1	366
M00967_43_000000000-A3JHG_1_1104_28499_14597	1	1
M00967_43_000000000-A3JHG_1_2107_12040_22975	1	55
M00967_43_000000000-A3JHG_1_1107_7568_5339	1	276
M00967_43_000000000-A3JHG_1_1113_6729_20732	1	174
M00967_43_000000000-A3JHG_1_1101_13738_26252	1	6
M00967_43_000000000-A3JHG_1_2105_20074_22904	1	1050
M00967_43_000000000-A3JHG_1_1114_18035_19632	1	95
M00967_43_000000000-A3JHG_1_2111_21609_6431	1	560
M00967_43_000000000-A3JHG_1_1107_24846_13465	1	392
M00967_43_000000000-A3JHG_1_2111_23479_25726	1	908
M00967_43_000000000-A3JHG_1_2101_10547_8264	1	196
M00967_43_000000000-A3JHG_1_2103_4621_16647	1	1397
M00967_43_000000000-A3JHG_1_1112_11786_2585	1	183
M00967_43_000000000-A3JHG_1_2114_14135_17323	1	20
M00967_43_000000000-A3JHG_1_1102_24300_16165	1	855
M00967_43_000000000-A3JHG_1_2114_14304_23385	8	1089
M00967_43_000000000-A3JHG_1_1103_9760_22235	1	47
M00967_43_000000000-A3JHG_1_1113_27350_21417	2	139
M00967_43_000000000-A3JHG_1_2111_17945_3106	1	1289
M00967_43_000000000-A3JHG_1_2104_20691_22669	1	738
M00967_43_000000000-A3JHG_1_1111_18414_8879	1	40
M00967_43_000000000-A3JHG_1_1108_15693_24912	1	1520
M00967_43_000000000-A3JHG_1_2106_11672_14290	1	258
M00967_43_000000000-A3JHG_1_1101_8112_6946	1	21
M00967_43_000000000-A3JHG_1_2103_23895_15727	1	62
M00967_43_000000000-A3JHG_1_1110_18623_23862	1	66
M00967_43_000000000-A3JHG_1_1113_6397_21137	1	80
M00967_43_000000000-A3JHG_1_1103_27614_17718	1	831
M00967_43_000000000-A3JHG_1_1106_19320_3172	1	47
M00967_43_000000000-A3JHG_1_1114_11250_16541	7	64
M00967_43_000000000-A3JHG_1_1113_21935_22664	1	8
M00967_43_000000000-A3JHG_1_1112_21024_17263	1	8
M00967_43_000000000-A3JHG_1_2114_23712_6045	6	201
M00967_43_000000000-A3JHG_1_1112_18778_12728	1	1492
M00967_43_000000000-A3JHG_1_1103_21452_22245	1	925
M00967_43_000000000-A3JHG_1_1107_9192_5610	1	91
M00967_43_000000000-A3JHG_1_1109_21674_5288	1	52
M00967_43_000000000-A3JHG_1_2107_21391_27546	1	635
M00967_43_000000000-A3JHG_1_2112_6769_13334	1	18
M00967_43_000000000-A3JHG_1_1102_16061_28170	1	103
M00967_43_000000000-A3JHG_1_2113_6763_8051	4	28
M00967_43_000000000-A3JHG_1_1101_17729_19476	1	100
M00967_43_000000000-A3JHG_1_2103_15221_19489	1	38
M00967_43_000000000-A3JHG_1_2112_16021_23826	1	231
M00967_43_000000000-A3JHG_1_1110_20813_14824	1	9
M00967_43_000000000-A3JHG_1_2104_4397_22704	1	100
M00967_43_000000000-A3JHG_1_2107_20300_22413	1	398
M00967_43_000000000-A3JHG_1_2105_21076_3397	16	984
M00967_43_000000000-A3JHG_1_1113_14148_28804	1	45
M00967_43_000000000-A3JHG_1_1112_10288_11815	1	225
M00967_43_000000000-A3JHG_1_2102_20947_25459	7	53
M00967_43_000000000-A3JHG_1_2104_23996_22925	1	389
M00967_43_000000000-A3JHG_1_1101_10115_7651	1	1
M00967_43_000000000-A3JHG_1_1113_16173_28428	1	1060
M00967_43_000000000-A3JHG_1_2109_9014_14533	1	90
M00967_43_000000000-A3JHG_1_2106_17766_23990	1	541
M00967_43_000000000-A3JHG_1_1104_13235_16718	1	53
M00967_43_000000000-A3JHG_1_2113_26695_11949	1	26
M00967_43_000000000-A3JHG_1_1104_20092_14706	1	11
M00967_43_000000000-A3JHG_1_1113_13100_12207	1	85
M00967_43_000000000-A3JHG_1_1113_24028_21570	1	36
M00967_43_000000000-A3JHG_1_1102_25548_22227	1	114
M00967_43_000000000-A3JHG_1_1113_8971_14165	1	85
M00967_43_000000000-A3JHG_1_1110_11532_8078	1	78
M00967_43_000000000-A3JHG_1_1106_15416_13371	1	396
M00967_43_000000000-A3JHG_1_1109_8329_7592	1	69
M00967_43_000000000-A3JHG_1_1105_21856_20111	2	94
M00967_43_000000000-A3JHG_1_2109_20008_8320	1	210
M00967_43_000000000-A3JHG_1_2109_23755_20000	1	1390
M00967_43_000000000-A3JHG_1_2114_24227_22437	1	13
M00967_43_000000000-A3JHG_1_1103_22546_21500	1	819
M00967_43_000000000-A3JHG_1_1110_24414_24077	1	42
M00967_43_000000000-A3JHG_1_1114_16458_23571	1	389
M00967_43_000000000-A3JHG_1_1104_4676_13126	1	62
M00967_43_000000000-A3JHG_1_1109_9608_10994	1	129
M00967_43_000000000-A3JHG_1_1104_28041_14039	1	1
M00967_43_000000000-A3JHG_1_2102_22131_22005	4	159
M00967_43_000000000-A3JHG_1_1104_11335_21750	1	86
M00967_43_000000000-A3JHG_1_1105_17286_20987	1	44
M00967_43_000000000-A3JHG_1_2104_25837_13229	1	810
M00967_43_000000000-A3JHG_1_1104_26182_15085	1	202
M00967_43_000000000-A3JHG_1_2102_23895_18093	1	15
M00967_43_000000000-A3JHG_1_2114_24974_14046	1	1258
M00967_43_000000000-A3JHG_1_2107_9719_11403	1	28
M00967_43_000000000-A3JHG_1_2111_10794_10416	1	243
M00967_43_000000000-A3JHG_1_1105_19309_20364	1	113
M00967_43_000000000-A3JHG_1_1106_14802_4035	1	385
M00967_43_000000000-A3JHG_1_1101_15525_14990	1	74
M00967_43_000000000-A3JHG_1_2110_17971_17237	1	105
M00967_43_000000000-A3JHG_1_1108_23293_20657	1	4
M00967_43_000000000-A3JHG_1_2108_16103_20442	1	308
M00967_43_000000000-A3JHG_1_1114_21749_19309	1	208
M00967_43_000000000-A3JHG_1_1109_15297_14919	1	1398
M00967_43_000000000-A3JHG_1_1111_12863_26650	1	713
M00967_43_000000000-A3JHG_1_2107_25539_7938	1	1264
M00967_43_000000000-A3JHG_1_2105_9792_9243	1	810
M00967_43_000000000-A3JHG_1_2102_8816_18858	1	42
M00967_43_000000000-A3JHG_1_2110_19361_17855	1	127
M00967_43_000000000-A3JHG_1_2106_10708_16774	1	840
M00967_43_000000000-A3JHG_1_2101_8046_10213	1	245
M00967_43_000000000-A3JHG_1_2110_27174_22762	1	756
M00967_43_000000000-A3JHG_1_1112_9419_4295	1	98
M00967_43_000000000-A3JHG_1_1111_10572_9470	1	39
M00967_43_000000000-A3JHG_1_1102_7608_24890	1	196
M00967_43_000000000-A3JHG_1_1107_4335_17965	1	101
M00967_43_000000000-A3JHG_1_2103_9109_17458	1	798
M00967_43_000000000-A3JHG_1_1112_10892_23929	1	0
M00967_43_000000000-A3JHG_1_2101_23479_10735	1	48
M00967_43_000000000-A3JHG_1_1111_9118_19463	1	84
M00967_43_000000000-A3JHG_1_2101_11617_8380	1	83
M00967_43_000000000-A3JHG_1_2105_8827_15926	1	1388
M00967_43_000000000-A3JHG_1_2113_20844_23934	1	366
M00967_43_000000000-A3JHG_1_1106_22562_5775	1	8
M00967_43_000000000-A3JHG_1_2107_9978_10322	1	15
M00967_43_000000000-A3JHG_1_1112_10034_5472	1	12
M00967_43_000000000-A3JHG_1_2104_21552_16189	1	196
M00967_43_000000000-A3JHG_1_1110_28619_14702	1	95
M00967_43_000000000-A3JHG_1_2104_14769_9789	1	78
M00967_43_000000000-A3JHG_1_1111_24071_25756	1	231
M00967_43_000000000-A3JHG_1_1110_19199_2074	1	237
M00967_43_000000000-A3JHG_1_1111_6896_5274	1	694
M00967_43_000000000-A3JHG_1_1112_15296_23199	1	77
M00967_43_000000000-A3JHG_1_2113_15982_3770	1	487
M00967_43_000000000-A3JHG_1_2107_15755_13008	1	131
M00967_43_000000000-A3JHG_1_1103_24361_5374	28	48
M00967_43_000000000-A3JHG_1_2109_10666_17087	1	77
M00967_43_000000000-A3JHG_1_2113_24068_11458	1	139
M00967_43_000000000-A3JHG_1_2106_25827_15532	2	27
M00967_43_000000000-A3JHG_1_2114_25552_6301	1	464
M00967_43_000000000-A3JHG_1_2110_25887_21067	3	24
M00967_43_000000000-A3JHG_1_1110_13655_14128	1	14
M00967_43_000000000-A3JHG_1_1108_17384_11962	1	31
M00967_43_000000000-A3JHG_1_1113_10833_16624	12	1497
M00967_43_000000000-A3JHG_1_2114_12232_28410	1	720
M00967_43_000000000-A3JHG_1_1113_22048_11616	1	27
M00967_43_000000000-A3JHG_1_1113_23174_24847	2	550
M00967_43_000000000-A3JHG_1_1113_21100_18008	1	513
M00967_43_000000000-A3JHG_1_2101_27999_11114	1	1399
M00967_43_000000000-A3JHG_1_2101_15577_28500	1	1398
M00967_43_000000000-A3JHG_1_1106_8503_13240	1	43
M00967_43_000000000-A3JHG_1_2110_5765_15510	1	127
M00967_43_000000000-A3JHG_1_2110_16126_10004	1	1
M00967_43_000000000-A3JHG_1_1102_24758_6643	1	551
M00967_43_000000000-A3JHG_1_2102_24640_5362	1	209
M00967_43_000000000-A3JHG_1_1103_17680_4384	1	1531
M00967_43_000000000-A3JHG_1_2102_9330_5980	1	1412
M00967_43_000000000-A3JHG_1_1114_22646_12814	1	69
M00967_43_000000000-A3JHG_1_2113_21614_12832	1	82
M00967_43_000000000-A3JHG_1_2104_27376_18242	1	229
M00967_43_000000000-A3JHG_1_2107_23703_19730	1	70
M00967_43_000000000-A3JHG_1_1109_15890_16860	1	111
M00967_43_000000000-A3JHG_1_1108_16391_18410	1	19
M00967_43_000000000-A3JHG_1_2102_23464_12008	1	1493
M00967_43_000000000-A3JHG_1_1114_21930_3268	1	145
M00967_43_000000000-A3JHG_1_2103_15059_13657	1	290
M00967_43_000000000-A3JHG_1_1106_11893_18503	1	810
M00967_43_000000000-A3JHG_1_1111_16065_1967	2	1089
M00967_43_000000000-A3JHG_1_1109_11296_10156	1	103
M00967_43_000000000-A3JHG_1_1112_7009_13655	1	860
M00967_43_000000000-A3JHG_1_1114_20872_2704	1	54
M00967_43_000000000-A3JHG_1_1112_22846_5529	1	35
M00967_43_000000000-A3JHG_1_2104_7527_10027	1	1132
M00967_43_000000000-A3JHG_1_2106_18101_16867	1	63
M00967_43_000000000-A3JHG_1_2108_20340_8369	1	490
M00967_43_000000000-A3JHG_1_1112_14702_1928	1	1162
M00967_43_000000000-A3JHG_1_1113_12533_17984	1	74
M00967_43_000000000-A3JHG_1_1108_26607_11548	1	1418
M00967_43_000000000-A3JHG_1_1114_10384_14374	1	9
M00967_43_000000000-A3JHG_1_1109_2798_11023	1	421
M00967_43_000000000-A3JHG_1_1106_13960_6680	1	22
M00967_43_000000000-A3JHG_1_2110_23943_24269	1	32
M00967_43_000000000-A3JHG_1_2108_12041_20353	1	416
M00967_43_000000000-A3JHG_1_2107_22192_18692	1	791
M00967_43_000000000-A3JHG_1_2101_25782_19810	1	14
M00967_43_000000000-A3JHG_1_2109_19493_14683	1	229
M00967_43_000000000-A3JHG_1_2114_18253_11110	1	58
M00967_43_000000000-A3JHG_1_2107_23312_10364	1	1417
M00967_43_000000000-A3JHG_1_1111_23799_22519	29	69
M00967_43_000000000-A3JHG_1_2112_24225_8213	1	109
M00967_43_000000000-A3JHG_1_1113_24180_12501	1	23
